Rank, Player, Pos,Team,Bye,Pos Rk
1, Antonio Brown,WR,PIT,1,
2, Julio Jones,WR,ATL,2,
3, Odell Beckham Jr.,WR,NYG,3,
4, DeAndre Hopkins,WR,HOU,4,
5, David Johnson,RB,ARI,1,
6, Todd Gurley,RB,LA,2,
7, A.J. Green,WR,CIN,5,
8, Adrian Peterson,RB,MIN,3,
9, Lamar Miller,RB,HOU,4,
10, Dez Bryant,WR,DAL,6,
11, Allen Robinson,WR,JAC,7,
12, Ezekiel Elliott,RB,DAL,5,
13, Le'Veon Bell,RB,PIT,6,
14, Rob Gronkowski,TE,NE,1,
15, Devonta Freeman,RB,ATL,7,
16, Brandon Marshall,WR,NYJ,8,
17, Alshon Jeffery,WR,CHI,9,
18, Keenan Allen,WR,SD,10,
19, Jordy Nelson,WR,GB,11,
20, Sammy Watkins,WR,BUF,12,
21, Mike Evans,WR,TB,13,
22, LeSean McCoy,RB,BUF,8,
23, Mark Ingram,RB,NO,9,
24, Doug Martin,RB,TB,10,
25, Brandin Cooks,WR,NO,14,
26, T.Y. Hilton,WR,IND,15,
27, Amari Cooper,WR,OAK,16,
28, Jordan Reed,TE,WAS,2,
29, Eddie Lacy,RB,GB,11,
30, Carlos Hyde,RB,SF,12,
31, C.J. Anderson,RB,DEN,13,
32, Matt Forte,RB,NYJ,14,
33, Jarvis Landry,WR,MIA,17,
34, Eric Decker,WR,NYJ,18,
35, Jeremy Maclin,WR,KC,19,
36, Demaryius Thomas,WR,DEN,20,
37, Danny Woodhead,RB,SD,15,
38, Jamaal Charles,RB,KC,16,
39, Jonathan Stewart,RB,CAR,17,
40, DeMarco Murray,RB,TEN,18,
41, Randall Cobb,WR,GB,21,
42, Cam Newton,QB,CAR,1,
43, Julian Edelman,WR,NE,22,
44, Golden Tate,WR,DET,23,
45, Emmanuel Sanders,WR,DEN,24,
46, Donte Moncrief,WR,IND,25,
47, Marvin Jones,WR,DET,26,
48, Greg Olsen,TE,CAR,3,
49, Russell Wilson,QB,SEA,2,
50, Aaron Rodgers,QB,GB,3,
51, Jordan Matthews,WR,PHI,27,
52, Larry Fitzgerald,WR,ARI,28,
53, Doug Baldwin,WR,SEA,29,
54, Michael Floyd,WR,ARI,30,
55, Jeremy Hill,RB,CIN,19,
56, Thomas Rawls,RB,SEA,20,
57, Latavius Murray,RB,OAK,21,
58, Ryan Mathews,RB,PHI,22,
59, Frank Gore,RB,IND,23,
60, Delanie Walker,TE,TEN,4,
61, Andrew Luck,QB,IND,4,
62, Giovani Bernard,RB,CIN,24,
63, Ameer Abdullah,RB,DET,25,
64, Melvin Gordon,RB,SD,26,
65, Jeremy Langford,RB,CHI,27,
66, Rashad Jennings,RB,NYG,28,
67, T.J. Yeldon,RB,JAC,29,
68, Ben Roethlisberger,QB,PIT,5,
69, Drew Brees,QB,NO,6,
70, John Brown,WR,ARI,31,
71, Michael Crabtree,WR,OAK,32,
72, Kelvin Benjamin,WR,CAR,33,
73, Duke Johnson Jr.,RB,CLE,30,
74, Charles Sims,RB,TB,31,
75, Bilal Powell,RB,NYJ,32,
76, Arian Foster,RB,MIA,33,
77, Chris Ivory,RB,JAC,34,
78, Tom Brady,QB,NE,7,
79, Carson Palmer,QB,ARI,8,
80, Tyler Lockett,WR,SEA,34,
81, Sterling Shepard,WR,NYG,35,
82, Stefon Diggs,WR,MIN,36,
83, Tavon Austin,WR,LA,37,
84, DeSean Jackson,WR,WAS,38,
85, Willie Snead,WR,NO,39,
86, Josh Gordon,WR,CLE,40,
87, Torrey Smith,WR,SF,41,
88, Eli Manning,QB,NYG,9,
89, Philip Rivers,QB,SD,10,
90, Tyrod Taylor,QB,BUF,11,
91, Travis Kelce,TE,KC,5,
92, Coby Fleener,TE,NO,6,
93, Tyler Eifert,TE,CIN,7,
94, Matt Jones,RB,WAS,35,
95, Derrick Henry,RB,TEN,36,
96, Tajae Sharpe,WR,TEN,42,
97, Vincent Jackson,WR,TB,43,
98, Allen Hurns,WR,JAC,44,
99, Mohamed Sanu,WR,ATL,45,
100, Michael Thomas,WR,NO,46,
101, Theo Riddick,RB,DET,37,
102, LeGarrette Blount,RB,NE,38,
103, James White,RB,NE,39,
104, Kenneth Dixon,RB,BAL,40,
105, Darren Sproles,RB,PHI,41,
106, Isaiah Crowell,RB,CLE,42,
107, Devontae Booker,RB,DEN,43,
108, Spencer Ware,RB,KC,44,
109, Zach Ertz,TE,PHI,8,
110, Gary Barnidge,TE,CLE,9,
111, Antonio Gates,TE,SD,10,
112, Will Fuller,WR,HOU,47,
113, Mike Wallace,WR,BAL,48,
114, Kevin White,WR,CHI,49,
115, Corey Coleman,WR,CLE,50,
116, DeVante Parker,WR,MIA,51,
117, Devin Funchess,WR,CAR,52,
118, Chris Hogan,WR,NE,53,
119, Travis Benjamin,WR,SD,54,
120, Phillip Dorsett,WR,IND,55,
121, Tyler Boyd,WR,CIN,56,
122, Steve Smith Sr.,WR,BAL,57,
123, DeAngelo Williams,RB,PIT,45,
124, Shane Vereen,RB,NYG,46,
125, Terrance West,RB,BAL,47,
126, Jay Ajayi,RB,MIA,48,
127, Eli Rogers,WR,PIT,58,
128, Markus Wheaton,WR,PIT,59,
129, Chris Thompson,RB,WAS,49,
130, C.J. Spiller,RB,NO,50,
131, Kirk Cousins,QB,WAS,12,
132, Matthew Stafford,QB,DET,13,
133, Blake Bortles,QB,JAC,14,
134, Andy Dalton,QB,CIN,15,
135, Charcandrick West,RB,KC,51,
136, Robert Kelley,RB,WAS,52,
137, Julius Thomas,TE,JAC,11,
138, Kenny Stills,WR,MIA,60,
139, Pierre Garcon,WR,WAS,61,
140, Martellus Bennett,TE,NE,12,
141, Seattle Seahawks,DST,SEA,1,
142, Cincinnati Bengals,DST,CIN,2,
143, Denver Broncos,DST,DEN,3,
144, Carolina Panthers,DST,CAR,4,
145, Houston Texans,DST,HOU,5,
146, Arizona Cardinals,DST,ARI,6,
147, Green Bay Packers,DST,GB,7,
148, Stephen Gostkowski,K,NE,1,
149, New York Jets,DST,NYJ,8,
150, Kansas City Chiefs,DST,KC,9,
151, Oakland Raiders,DST,OAK,10,
152, Steven Hauschka,K,SEA,2,
153, Dan Bailey,K,DAL,3,
154, Adam Vinatieri,K,IND,4,
155, Justin Tucker,K,BAL,5,
156, Chris Boswell,K,PIT,6,
157, Mason Crosby,K,GB,7,
158, Graham Gano,K,CAR,8,
159, Chandler Catanzaro,K,ARI,9,
160, Matt Prater,K,DET,10,
161, Tevin Coleman,RB,ATL,53,
162, Christine Michael,RB,SEA,54,
163, Alfred Morris,RB,DAL,55,
164, Kamar Aiken,WR,BAL,62,
165, Eric Ebron,TE,DET,13,
166, Jason Witten,TE,DAL,14,
167, Zach Miller,TE,CHI,15,
168, Terrelle Pryor,WR,CLE,63,
169, Jameis Winston,QB,TB,16,
170, Derek Carr,QB,OAK,17,
171, Ryan Fitzpatrick,QB,NYJ,18,
172, Jerick McKinnon,RB,MIN,56,
173, Shaun Draughn,RB,SF,57,
174, Charles Clay,TE,BUF,16,
175, Jimmy Graham,TE,SEA,17,
176, DeAndre Washington,RB,OAK,58,
177, Justin Forsett,RB,BAL,59,
178, Ka'Deem Carey,RB,CHI,60,
179, Jared Cook,TE,GB,18,
180, Clive Walford,TE,OAK,19,
181, Breshad Perriman,WR,BAL,64,
182, Dorial Green-Beckham,WR,PHI,65,
183, Anquan Boldin,WR,DET,66,
184, Rishard Matthews,WR,TEN,67,
185, Chris Conley,WR,KC,68,
186, James Starks,RB,GB,61,
187, Jamison Crowder,WR,WAS,69,
188, Braxton Miller,WR,HOU,70,
189, Minnesota Vikings,DST,MIN,11,
190, New England Patriots,DST,NE,12,
191, Roberto Aguayo,K,TB,11,
192, Josh Brown,K,NYG,12,
193, Marcus Mariota,QB,TEN,19,
194, Ryan Tannehill,QB,MIA,20,
195, Joe Flacco,QB,BAL,21,
196, Laquon Treadwell,WR,MIN,71,
197, Kenny Britt,WR,LA,72,
198, Terrance Williams,WR,DAL,73,
199, C.J. Prosise,RB,SEA,62,
200, Tim Hightower,RB,NO,63,
201, Benjamin Cunningham,RB,LA,64,
202, Javorius Allen,RB,BAL,65,
203, Lance Dunbar,RB,DAL,66,
204, Jordan Howard,RB,CHI,67,
205, Chris Johnson,RB,ARI,68,
206, Robert Turbin,RB,IND,69,
207, Cameron Artis-Payne,RB,CAR,70,
208, Reggie Bush,RB,BUF,71,
209, Dwayne Allen,TE,IND,20,
210, Kyle Rudolph,TE,MIN,21,
211, Jordan Cameron,TE,MIA,22,
212, Sammie Coates,WR,PIT,74,
213, Nelson Agholor,WR,PHI,75,
214, Jaelen Strong,WR,HOU,76,
215, Josh Doctson,WR,WAS,77,
216, Ted Ginn Jr.,WR,CAR,78,
217, Davante Adams,WR,GB,79,
218, Charles Johnson,WR,MIN,80,
219, Matt Ryan,QB,ATL,22,
220, Carson Wentz,QB,PHI,23,
221, Buffalo Bills,DST,BUF,13,
222, Los Angeles Rams,DST,LA,14,
223, Blair Walsh,K,MIN,13,
224, Cairo Santos,K,KC,14,
225, Quinton Patton,WR,SF,81,
226, Tyrell Williams,WR,SD,82,
227, Kendall Wright,WR,TEN,83,
228, Malcolm Mitchell,WR,NE,84,
229, Brandon LaFell,WR,CIN,85,
230, Victor Cruz,WR,NYG,86,
231, Robert Woods,WR,BUF,87,
232, Seth Roberts,WR,OAK,88,
233, Marqise Lee,WR,JAC,89,
234, Eddie Royal,WR,CHI,90,
235, Orleans Darkwa,RB,NYG,72,
236, Mike Gillislee,RB,BUF,73,
237, D.J. Foster,RB,NE,74,
238, Andre Ellington,RB,ARI,75,
239, Wendell Smallwood,RB,PHI,76,
240, Tyler Ervin,RB,HOU,77,
241, Dion Lewis,RB,NE,78,
242, Paul Perkins,RB,NYG,79,
243, Alex Smith,QB,KC,24,
244, Brock Osweiler,QB,HOU,25,
245, Robert Griffin,QB,CLE,26,
246, Virgil Green,TE,DEN,23,
247, Vance McDonald,TE,SF,24,
248, Austin Seferian-Jenkins,TE,TB,25,
249, Crockett Gillmore,TE,BAL,26,
250, Zach Zenner,RB,DET,80,
251, Rod Streater,WR,SF,91,
252, Jermaine Kearse,WR,SEA,92,
253, Tampa Bay Buccaneers,DST,TB,15,
254, Jacksonville Jaguars,DST,JAC,16,
255, Brandon McManus,K,DEN,15,
256, Nick Novak,K,HOU,16,
257, Larry Donnell,TE,NYG,27,
258, Jesse James,TE,PIT,28,
259, Maxx Williams,TE,BAL,29,
260, Quincy Enunwa,WR,NYJ,93,
